"freq
References : ['S(2,1)','S(1,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.532 GHz,1.611E-6 / -54.949,0.995 / -143.602
1.532 GHz,1.612E-6 / -54.961,0.995 / -143.613
1.532 GHz,1.613E-6 / -54.972,0.995 / -143.624
1.532 GHz,1.614E-6 / -54.983,0.995 / -143.636
1.532 GHz,1.615E-6 / -54.994,0.995 / -143.647
1.532 GHz,1.617E-6 / -55.006,0.995 / -143.658
1.532 GHz,1.618E-6 / -55.017,0.995 / -143.669
1.532 GHz,1.619E-6 / -55.028,0.995 / -143.680
1.532 GHz,1.620E-6 / -55.039,0.995 / -143.692
1.532 GHz,1.621E-6 / -55.051,0.995 / -143.703
1.533 GHz,1.622E-6 / -55.062,0.995 / -143.714
1.533 GHz,1.624E-6 / -55.073,0.995 / -143.725
1.533 GHz,1.625E-6 / -55.085,0.995 / -143.737
1.533 GHz,1.626E-6 / -55.096,0.995 / -143.748
1.533 GHz,1.627E-6 / -55.107,0.995 / -143.759
1.533 GHz,1.628E-6 / -55.118,0.995 / -143.770
1.533 GHz,1.629E-6 / -55.130,0.995 / -143.781
1.533 GHz,1.631E-6 / -55.141,0.995 / -143.793
1.533 GHz,1.632E-6 / -55.152,0.995 / -143.804
1.534 GHz,1.633E-6 / -55.163,0.995 / -143.815
1.534 GHz,1.634E-6 / -55.175,0.995 / -143.826
1.534 GHz,1.635E-6 / -55.186,0.995 / -143.837
1.534 GHz,1.637E-6 / -55.197,0.995 / -143.849
1.534 GHz,1.638E-6 / -55.209,0.995 / -143.860
1.534 GHz,1.639E-6 / -55.220,0.995 / -143.871
1.534 GHz,1.640E-6 / -55.231,0.995 / -143.882
1.534 GHz,1.641E-6 / -55.242,0.995 / -143.894
1.534 GHz,1.642E-6 / -55.254,0.995 / -143.905
1.534 GHz,1.644E-6 / -55.265,0.995 / -143.916
1.534 GHz,1.645E-6 / -55.276,0.995 / -143.927
1.535 GHz,1.646E-6 / -55.288,0.995 / -143.938
1.535 GHz,1.647E-6 / -55.299,0.995 / -143.950
1.535 GHz,1.648E-6 / -55.310,0.995 / -143.961
1.535 GHz,1.650E-6 / -55.321,0.995 / -143.972
1.535 GHz,1.651E-6 / -55.333,0.995 / -143.983
1.535 GHz,1.652E-6 / -55.344,0.995 / -143.995
1.535 GHz,1.653E-6 / -55.355,0.995 / -144.006
1.535 GHz,1.654E-6 / -55.367,0.995 / -144.017
1.535 GHz,1.655E-6 / -55.378,0.995 / -144.028
1.536 GHz,1.657E-6 / -55.389,0.995 / -144.040
1.536 GHz,1.658E-6 / -55.401,0.995 / -144.051
1.536 GHz,1.659E-6 / -55.412,0.995 / -144.062
1.536 GHz,1.660E-6 / -55.423,0.995 / -144.073
1.536 GHz,1.661E-6 / -55.434,0.995 / -144.085
1.536 GHz,1.663E-6 / -55.446,0.995 / -144.096
1.536 GHz,1.664E-6 / -55.457,0.995 / -144.107
1.536 GHz,1.665E-6 / -55.468,0.995 / -144.118
1.536 GHz,1.666E-6 / -55.480,0.995 / -144.129
1.536 GHz,1.667E-6 / -55.491,0.995 / -144.141
1.536 GHz,1.669E-6 / -55.502,0.995 / -144.152
1.537 GHz,1.670E-6 / -55.514,0.995 / -144.163
1.537 GHz,1.671E-6 / -55.525,0.995 / -144.174
1.537 GHz,1.672E-6 / -55.536,0.995 / -144.186
1.537 GHz,1.673E-6 / -55.547,0.995 / -144.197
1.537 GHz,1.675E-6 / -55.559,0.995 / -144.208
1.537 GHz,1.676E-6 / -55.570,0.995 / -144.219
1.537 GHz,1.677E-6 / -55.581,0.995 / -144.231
1.537 GHz,1.678E-6 / -55.593,0.995 / -144.242
1.537 GHz,1.679E-6 / -55.604,0.995 / -144.253
1.538 GHz,1.681E-6 / -55.615,0.995 / -144.264
1.538 GHz,1.682E-6 / -55.627,0.995 / -144.276
1.538 GHz,1.683E-6 / -55.638,0.995 / -144.287
1.538 GHz,1.684E-6 / -55.649,0.995 / -144.298
1.538 GHz,1.686E-6 / -55.661,0.995 / -144.309
1.538 GHz,1.687E-6 / -55.672,0.995 / -144.321
1.538 GHz,1.688E-6 / -55.683,0.995 / -144.332
1.538 GHz,1.689E-6 / -55.695,0.995 / -144.343
1.538 GHz,1.690E-6 / -55.706,0.995 / -144.354
1.538 GHz,1.692E-6 / -55.717,0.995 / -144.366
1.538 GHz,1.693E-6 / -55.729,0.995 / -144.377
1.539 GHz,1.694E-6 / -55.740,0.995 / -144.388
1.539 GHz,1.695E-6 / -55.751,0.995 / -144.399
1.539 GHz,1.697E-6 / -55.762,0.995 / -144.411
1.539 GHz,1.698E-6 / -55.774,0.995 / -144.422
1.539 GHz,1.699E-6 / -55.785,0.995 / -144.433
1.539 GHz,1.700E-6 / -55.796,0.995 / -144.445
1.539 GHz,1.701E-6 / -55.808,0.995 / -144.456
