"freq
References : ['S(1,1)','S(2,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.531 GHz,0.994 / -154.548,7.226E-8 / -65.615
1.532 GHz,0.994 / -154.562,7.231E-8 / -65.629
1.532 GHz,0.994 / -154.576,7.236E-8 / -65.643
1.532 GHz,0.994 / -154.590,7.241E-8 / -65.657
1.532 GHz,0.994 / -154.603,7.246E-8 / -65.671
1.532 GHz,0.994 / -154.617,7.251E-8 / -65.685
1.532 GHz,0.994 / -154.631,7.256E-8 / -65.699
1.532 GHz,0.994 / -154.645,7.262E-8 / -65.713
1.532 GHz,0.994 / -154.659,7.267E-8 / -65.726
1.532 GHz,0.994 / -154.673,7.272E-8 / -65.740
1.532 GHz,0.994 / -154.687,7.277E-8 / -65.754
1.532 GHz,0.994 / -154.701,7.282E-8 / -65.768
1.533 GHz,0.994 / -154.714,7.287E-8 / -65.782
1.533 GHz,0.994 / -154.728,7.292E-8 / -65.796
1.533 GHz,0.994 / -154.742,7.297E-8 / -65.810
1.533 GHz,0.994 / -154.756,7.302E-8 / -65.824
1.533 GHz,0.994 / -154.770,7.307E-8 / -65.838
1.533 GHz,0.994 / -154.784,7.312E-8 / -65.852
1.533 GHz,0.994 / -154.798,7.318E-8 / -65.866
1.533 GHz,0.994 / -154.812,7.323E-8 / -65.880
1.533 GHz,0.994 / -154.826,7.328E-8 / -65.894
1.534 GHz,0.994 / -154.839,7.333E-8 / -65.908
1.534 GHz,0.994 / -154.853,7.338E-8 / -65.922
1.534 GHz,0.994 / -154.867,7.343E-8 / -65.935
1.534 GHz,0.994 / -154.881,7.348E-8 / -65.949
1.534 GHz,0.994 / -154.895,7.353E-8 / -65.963
1.534 GHz,0.994 / -154.909,7.359E-8 / -65.977
1.534 GHz,0.994 / -154.923,7.364E-8 / -65.991
1.534 GHz,0.994 / -154.937,7.369E-8 / -66.005
1.534 GHz,0.994 / -154.950,7.374E-8 / -66.019
1.534 GHz,0.994 / -154.964,7.379E-8 / -66.033
1.534 GHz,0.994 / -154.978,7.384E-8 / -66.047
1.535 GHz,0.994 / -154.992,7.389E-8 / -66.061
1.535 GHz,0.994 / -155.006,7.395E-8 / -66.075
1.535 GHz,0.994 / -155.020,7.400E-8 / -66.089
1.535 GHz,0.994 / -155.034,7.405E-8 / -66.103
1.535 GHz,0.994 / -155.048,7.410E-8 / -66.117
1.535 GHz,0.994 / -155.061,7.415E-8 / -66.131
1.535 GHz,0.994 / -155.075,7.421E-8 / -66.144
1.535 GHz,0.994 / -155.089,7.426E-8 / -66.158
1.535 GHz,0.994 / -155.103,7.431E-8 / -66.172
1.536 GHz,0.994 / -155.117,7.436E-8 / -66.186
1.536 GHz,0.994 / -155.131,7.441E-8 / -66.200
1.536 GHz,0.994 / -155.145,7.447E-8 / -66.214
1.536 GHz,0.994 / -155.159,7.452E-8 / -66.228
1.536 GHz,0.994 / -155.173,7.457E-8 / -66.242
1.536 GHz,0.994 / -155.186,7.462E-8 / -66.256
1.536 GHz,0.994 / -155.200,7.467E-8 / -66.270
1.536 GHz,0.994 / -155.214,7.473E-8 / -66.284
1.536 GHz,0.994 / -155.228,7.478E-8 / -66.298
1.536 GHz,0.994 / -155.242,7.483E-8 / -66.312
1.536 GHz,0.994 / -155.256,7.488E-8 / -66.326
1.537 GHz,0.994 / -155.270,7.494E-8 / -66.340
1.537 GHz,0.994 / -155.284,7.499E-8 / -66.354
1.537 GHz,0.994 / -155.298,7.504E-8 / -66.368
1.537 GHz,0.994 / -155.311,7.509E-8 / -66.382
1.537 GHz,0.994 / -155.325,7.515E-8 / -66.395
1.537 GHz,0.994 / -155.339,7.520E-8 / -66.409
1.537 GHz,0.994 / -155.353,7.525E-8 / -66.423
1.537 GHz,0.994 / -155.367,7.530E-8 / -66.437
1.537 GHz,0.994 / -155.381,7.536E-8 / -66.451
