#Parameters = {CH=0.035; FL=16.5; FW=2.24; NotchLength=10.47; NotchWidth=1; PL=28.027; PW=36.415; SH=1.43; SL=61; SW=64; StripW=2.24; k=6.26}
#"Frequency / GHz"	"S1,1 (NotchWidth=1) [Magnitude]"
#---------------------------------------------------
2.0897998809814	-0.10157737862486
2.0912001132965	-0.098009488072832
2.0926001071930	-0.094367066638146
2.0940001010895	-0.090731802474308
2.0954000949860	-0.087185222302923
2.0968000888824	-0.083805650445484
2.0982000827789	-0.080669817755296
2.0996000766754	-0.077848769973228
2.1010000705719	-0.075406235140983
2.1024000644684	-0.073402471659127
2.1038000583649	-0.071882995132762
2.1052000522614	-0.070890107150178
2.1066000461578	-0.070453272709736
2.1080000400543	-0.070592736505800
2.1094000339508	-0.071314806356735
2.1108000278473	-0.072619986066865
2.1122000217438	-0.074494505135016
2.1136000156403	-0.076914701194300
2.1150000095367	-0.079847789606461
2.1164000034332	-0.083249610805850
2.1177999973297	-0.087068670537976
2.1191999912262	-0.091245726601059
2.1205999851227	-0.095713674459687
2.1219999790192	-0.10040188099293
2.1233999729156	-0.10523459620207
2.1247999668121	-0.11013205886491
2.1261999607086	-0.11501543308796
2.1275999546051	-0.11980619774418
2.1289999485016	-0.12442801568461
2.1303999423981	-0.12880407329149
2.1317999362946	-0.13286780040197
2.1331999301910	-0.13655718529193
2.1345999240875	-0.13981504620351
2.1359999179840	-0.14259717068629
2.1373999118805	-0.14486653547296
2.1387999057770	-0.14659661724882
2.1401998996735	-0.14777283819416
2.1415998935699	-0.14839095851950
2.1429998874664	-0.14845982196054
2.1443998813629	-0.14799620146553
2.1458001136780	-0.14703145988878
2.1472001075745	-0.14560511622069
2.1486001014709	-0.14376507258574
2.1500000953674	-0.14157183649530
2.1514000892639	-0.13908873690453
2.1528000831604	-0.13638819263535
2.1542000770569	-0.13354475572887
2.1556000709534	-0.13063748120340
2.1570000648499	-0.12774699325463
2.1584000587463	-0.12495357159883
2.1598000526428	-0.12233642229263
2.1612000465393	-0.11997078439057
2.1626000404358	-0.11792870206878
2.1640000343323	-0.11627572301420
2.1654000282288	-0.11506956253914
2.1668000221252	-0.11436329553960
2.1682000160217	-0.11419594814791
2.1696000099182	-0.11460148902558
2.1710000038147	-0.11560219879129
2.1723999977112	-0.11720825264740
2.1737999916077	-0.11942056822073
2.1751999855042	-0.12222736565547
2.1765999794006	-0.12560827806751
2.1779999732971	-0.12953157699696
2.1793999671936	-0.13395667805502
2.1807999610901	-0.13883029212011
2.1821999549866	-0.14409730692725
2.1835999488831	-0.14968817105577
2.1849999427795	-0.15553320780987
2.1863999366760	-0.16155530254443
2.1877999305725	-0.16767456401513
2.1891999244690	-0.17381037578938
2.1905999183655	-0.17988052545250
2.1919999122620	-0.18580476586967
2.1933999061584	-0.19150686157383
2.1947999000549	-0.19691433511805
2.1961998939514	-0.20196098984441
2.1975998878479	-0.20658815132168
2.1989998817444	-0.21074715980378
2.2004001140594	-0.21439636079732
2.2018001079559	-0.21750735895913
2.2032001018524	-0.22006211719443
2.2046000957489	-0.22205538385061
2.2060000896454	-0.22349213798938
2.2074000835419	-0.22439238137024
2.2088000774384	-0.22478343594744
2.2102000713348	-0.22470946750845
2.2116000652313	-0.22422135146858
