Freq.	Vn00    Phase
1.53317334090010e+009	-1.91960089001459e+002	-1.01288458225788e+002
1.53352640775483e+009	-1.91927819952682e+002	-1.01294300433697e+002
1.53387955591558e+009	-1.91895536994122e+002	-1.01300148321389e+002
1.53423278540106e+009	-1.91863240111001e+002	-1.01306001897280e+002
1.53458609622999e+009	-1.91830929288518e+002	-1.01311861169802e+002
1.53493948842112e+009	-1.91798604511850e+002	-1.01317726147405e+002
1.53529296199317e+009	-1.91766265766153e+002	-1.01323596838554e+002
1.53564651696490e+009	-1.91733913036558e+002	-1.01329473251733e+002
1.53600015335504e+009	-1.91701546308176e+002	-1.01335355395441e+002
1.53635387118234e+009	-1.91669165566096e+002	-1.01341243278195e+002
1.53670767046556e+009	-1.91636770795384e+002	-1.01347136908529e+002
1.53706155122345e+009	-1.91604361981083e+002	-1.01353036294993e+002
1.53741551347479e+009	-1.91571939108214e+002	-1.01358941446156e+002
1.53776955723832e+009	-1.91539502161776e+002	-1.01364852370603e+002
1.53812368253283e+009	-1.91507051126745e+002	-1.01370769076935e+002
1.53847788937710e+009	-1.91474585988073e+002	-1.01376691573772e+002
1.53883217778989e+009	-1.91442106730693e+002	-1.01382619869751e+002
1.53918654779000e+009	-1.91409613339512e+002	-1.01388553973526e+002
1.53954099939621e+009	-1.91377105799416e+002	-1.01394493893767e+002
1.53989553262732e+009	-1.91344584095267e+002	-1.01400439639164e+002
1.54025014750212e+009	-1.91312048211905e+002	-1.01406391218423e+002
1.54060484403941e+009	-1.91279498134148e+002	-1.01412348640267e+002
1.54095962225800e+009	-1.91246933846790e+002	-1.01418311913437e+002
1.54131448217670e+009	-1.91214355334601e+002	-1.01424281046692e+002
1.54166942381433e+009	-1.91181762582330e+002	-1.01430256048808e+002
1.54202444718970e+009	-1.91149155574703e+002	-1.01436236928579e+002
1.54237955232163e+009	-1.91116534296421e+002	-1.01442223694816e+002
1.54273473922895e+009	-1.91083898732163e+002	-1.01448216356349e+002
1.54309000793050e+009	-1.91051248866586e+002	-1.01454214922025e+002
1.54344535844512e+009	-1.91018584684322e+002	-1.01460219400709e+002
1.54380079079163e+009	-1.90985906169980e+002	-1.01466229801283e+002
1.54415630498888e+009	-1.90953213308147e+002	-1.01472246132649e+002
1.54451190105573e+009	-1.90920506083385e+002	-1.01478268403724e+002
1.54486757901103e+009	-1.90887784480233e+002	-1.01484296623445e+002
1.54522333887364e+009	-1.90855048483207e+002	-1.01490330800768e+002
1.54557918066241e+009	-1.90822298076801e+002	-1.01496370944664e+002
1.54593510439621e+009	-1.90789533245481e+002	-1.01502417064125e+002
1.54629111009392e+009	-1.90756753973695e+002	-1.01508469168160e+002
1.54664719777441e+009	-1.90723960245863e+002	-1.01514527265796e+002
1.54700336745656e+009	-1.90691152046383e+002	-1.01520591366079e+002
1.54735961915925e+009	-1.90658329359629e+002	-1.01526661478072e+002
